,age,gender,race,age_group
0,100,0,0,"(55, 120]"
1,100,0,0,"(55, 120]"
2,100,1,0,"(55, 120]"
3,100,1,0,"(55, 120]"
4,100,1,0,"(55, 120]"
5,100,1,0,"(55, 120]"
6,100,1,0,"(55, 120]"
7,100,1,0,"(55, 120]"
8,100,1,2,"(55, 120]"
9,100,1,2,"(55, 120]"
10,100,1,2,"(55, 120]"
11,101,0,0,"(55, 120]"
12,101,1,2,"(55, 120]"
13,103,0,2,"(55, 120]"
14,105,0,0,"(55, 120]"
15,105,1,0,"(55, 120]"
16,105,1,0,"(55, 120]"
17,105,1,0,"(55, 120]"
18,105,1,1,"(55, 120]"
19,10,0,0,"(0, 18]"
20,10,0,0,"(0, 18]"
21,10,0,0,"(0, 18]"
22,10,0,0,"(0, 18]"
23,10,0,0,"(0, 18]"
24,10,0,0,"(0, 18]"
25,10,0,0,"(0, 18]"
26,10,0,0,"(0, 18]"
27,10,0,0,"(0, 18]"
28,10,0,0,"(0, 18]"
29,10,0,0,"(0, 18]"
30,10,0,0,"(0, 18]"
31,10,0,0,"(0, 18]"
32,10,0,0,"(0, 18]"
33,10,0,0,"(0, 18]"
34,10,0,0,"(0, 18]"
35,10,0,0,"(0, 18]"
36,10,0,0,"(0, 18]"
37,10,0,0,"(0, 18]"
38,10,0,0,"(0, 18]"
39,10,0,0,"(0, 18]"
40,10,0,0,"(0, 18]"
41,10,0,0,"(0, 18]"
42,10,0,0,"(0, 18]"
43,10,0,0,"(0, 18]"
44,10,0,0,"(0, 18]"
45,10,0,0,"(0, 18]"
46,10,0,0,"(0, 18]"
47,10,0,0,"(0, 18]"
48,10,0,0,"(0, 18]"
49,10,0,0,"(0, 18]"
50,10,0,0,"(0, 18]"
51,10,0,0,"(0, 18]"
52,10,0,0,"(0, 18]"
53,10,0,0,"(0, 18]"
54,10,0,0,"(0, 18]"
55,10,0,0,"(0, 18]"
56,10,0,0,"(0, 18]"
57,10,0,0,"(0, 18]"
58,10,0,0,"(0, 18]"
59,10,0,0,"(0, 18]"
60,10,0,0,"(0, 18]"
61,10,0,0,"(0, 18]"
62,10,0,0,"(0, 18]"
63,10,0,0,"(0, 18]"
64,10,0,0,"(0, 18]"
65,10,0,0,"(0, 18]"
66,10,0,0,"(0, 18]"
67,10,0,0,"(0, 18]"
68,10,0,0,"(0, 18]"
69,10,0,0,"(0, 18]"
70,10,0,0,"(0, 18]"
